id,ingredients
5,Картофель
5,Петрушка
5,Чеснок
5,Винный уксус
5,Перец черный молотый
5,Соль
5,Растительное масло
5,Оливковое масло
5,Розмарин
5,Майонез
5,Лимон
5,Осьминог
5,Красный лук
5,Помидоры
5,Цветная капуста
5,Сладкий перец
5,Маслины
5,Смесь перцев
5,Листья эстрагона
5,Белый винный уксус
5,Дижонская горчица
5,Шампиньоны
5,Ананас
5,Голландский сыр
5,Курица
5,Свежая кинза (кориандр)
5,Укроп
5,Яблочный уксус
6,Соль
6,Краснокочанная капуста
6,Перец черный молотый
6,Уксус
6,Растительное масло
6,Зеленый салат
6,Свекла
6,Сахар
6,Куриное филе
6,Огурцы
6,Сладкий красный лук
6,Твердый сыр
6,Чеснок
6,Сухарики
6,Морковь
6,Лук репчатый
6,Молотый красный перец
6,Молотый кориандр
6,Курица
6,Маринованные огурцы
6,Майонез
11,Морковь
11,Белокочанная капуста
11,Корень сельдерея
11,Петрушка
11,Лук репчатый
11,Вода
11,Жир
11,Соль
11,Мясные кости
11,Мясо
11,Корень петрушки
11,Фазан
11,Стебель сельдерея
11,Курица
11,Лук
11,Кольраби
11,Стручковый зеленый горошек
11,Лук-порей
11,Куриные крылья
11,Мелко рубленный чеснок
11,Желатин
14,Говядина
14,Шпик
14,Лук репчатый
14,Сладкий перец
14,Тимьян
14,Растительное масло
14,Лимон
14,Чеснок
14,Сахар
14,Перец черный молотый
14,Молотый красный перец
14,Соль
14,Картофель
14,Белокочанная капуста
14,Морковь
14,Красная чечевица
14,Пшеничная мука
14,Молотый тмин
14,Соевый соус
14,Помидоры
14,Паприка
14,Петрушка
14,Корень сельдерея
14,Тмин
14,Гречневая лапша
14,Стебель сельдерея
14,Бальзамический уксус
14,Лук
26,Яблоко
26,Груши
26,Сахар
26,Молоко
26,Пшеничная мука
26,Сливочное масло
26,Яйцо куриное
26,Сметана
26,Уксус
26,Сода
26,Соль
26,Растительное масло
26,Разрыхлитель
26,Какао
26,Тыква
26,Сливки 30%-ные
26,Корица
26,Ванилин
26,Темный шоколад
26,Коричневый сахар
26,Грецкие орехи
30,Рис
30,Морепродукты
30,Шампиньоны
30,Морковь
30,Лук репчатый
30,Сушеные помидоры
30,Сладкий перец
30,Петрушка
30,Чеснок
30,Чернослив
30,Перец чили
30,Барбарис
30,Соль
30,Вода
30,Куриное филе
30,Соевый соус
30,Яблочный уксус
30,Сахар
30,Томатная паста
30,Консервированный ананас
30,Помидоры
30,Макароны
30,Черный перец горошком
30,Сыр
30,Майонез
30,Говядина
30,Соленые огурцы
30,Картофель
30,Мясной бульон
30,Куриная грудка
30,Лук
30,Овощной бульонный кубик
30,Смесь итальянских трав
30,Сливки
30,Оливковое масло
30,Мускатный орех
30,Сливочное масло
30,Перец черный молотый
30,Молодой картофель
30,Оливковое масло extra virgin
30,Укроп
30,Красный соус табаско
30,Свиная вырезка
30,Сливки 25%-ные
30,Молотый белый перец
31,Яйцо куриное
31,Пшеничная мука
31,Свиной фарш
31,Панировочные сухари
31,Соль
31,Растительное масло
31,Перец черный молотый
31,Куриное филе
31,Соевый соус
31,Яблочный уксус
31,Сахар
31,Вода
31,Томатная паста
31,Сладкий перец
31,Консервированный ананас
31,Помидоры
31,Макароны
31,Чеснок
31,Черный перец горошком
31,Сыр
31,Майонез
31,Говядина
31,Лук репчатый
31,Соленые огурцы
31,Картофель
31,Мясной бульон
31,Куриная грудка
31,Лук
31,Овощной бульонный кубик
31,Смесь итальянских трав
31,Сливки
31,Оливковое масло
31,Мускатный орех
31,Сливочное масло
31,Молодой картофель
31,Оливковое масло extra virgin
31,Укроп
31,Петрушка
31,Красный соус табаско
31,Шампиньоны
31,Свиная вырезка
31,Сливки 25%-ные
31,Молотый белый перец
32,Яичный желток
32,Чеснок
32,Анчоусы
32,Соль
32,Перец черный молотый
32,Вустерширский соус
32,Оливковое масло
32,Дижонская горчица
32,Лимонный сок
32,Тертый сыр пармезан
32,Лук репчатый
32,Орегано
32,Консервированные помидоры
32,Помидоры
32,Томатная паста
32,Сахар
32,Уксус
32,Соевый соус
32,Томатное пюре
32,Апельсиновый сок
32,Кукурузная мука
32,Сливочное масло
32,Подсолнечное масло
32,Пшеничная мука
32,Молоко
32,Зеленый базилик
32,Сыр пармезан
32,Кедровые орехи
32,Ананасовый сок
32,Вода
32,Соус терияки
32,Коричневый сахар
32,Виски Jack Daniel’s
32,Ананас
32,Кайенский перец
38,Яйцо куриное
38,Чеснок
38,Шалфей
38,Помидоры
38,Белый хлеб
38,Оливковое масло
38,Куриные окорочка
38,Картофель
38,Морковь
38,Лук репчатый
38,Вермишель
38,Зелень
38,Соль
38,Молотый белый перец
38,Перец черный молотый
38,Сушеный эстрагон
38,Говядина
38,Сосиски
38,Вареная колбаса
38,Соленые огурцы
38,Ветчина
38,Петрушка
38,Маслины
38,Томатная паста
38,Очищенные семена тыквы
38,Сахар
38,Сливки
38,Бренди
38,Сливочное масло
38,Красный лук
38,Тыква
38,Куриный бульон
38,Свежие шампиньоны
38,Сливки 25%-ные
38,Пшеничная мука
38,Тимьян
38,Свежемолотый черный перец
38,Сушеные белые грибы
38,Коктейль из морепродуктов
38,Сладкий перец
38,Томатный сок
38,Шафран
38,Сушеный базилик
38,Прованские травы
38,Лимонный сок
38,Куриное филе
38,Плавленый сыр
38,Лук
38,Лавровый лист
38,Гренки
38,Черный перец горошком
53,Яблоко
53,Пшеничная мука
53,Сливочное масло
53,Сахар
53,Лимон
53,Варенье
53,Маргарин
53,Яйцо куриное
53,Соль
53,Сахарная пудра
53,Абрикосовый джем
53,Лимонное масло
53,Миндальная пудра
53,Сухие дрожжи
53,Крахмал
61,Яйцо куриное
61,Миндаль
61,Сливочное масло
61,Пшеничная мука
61,Сухие дрожжи
61,Ванильный стручок
61,Сахар
61,Соль
61,Вода
61,Сахарная пудра
61,Растительное масло
61,Молоко
63,Курица
63,Карри
63,Йогурт
63,Кинза
63,Огурцы
63,Лук репчатый
63,Помидоры
63,Белое сухое вино
63,Морская соль
63,Перец черный молотый
63,Сметана
63,Соль
63,Картофель
63,Паприка
63,Кайенский перец
63,Молотый кориандр
63,Перец чили
63,Грибы шиитаке
63,Растительное масло
63,Лосось
63,Чеснок
63,Филе форели
63,Имбирь
63,Молотый кумин (зира)
63,Рисовый уксус
63,Оливковое масло
63,Палтус
63,Фиолетовый картофель
63,Молотый перец чили
63,Укроп
63,Лук-резанец
67,Сливочное масло
67,Печенье
67,Яйцо куриное
67,Молоко
67,Сахар
67,Грецкие орехи
67,Ваниль
67,Какао
67,Коньяк
67,Белый хлеб
67,Творог
67,Сметана
67,Пшеничная мука
67,Миндаль
67,Яичный желток
67,Ванилин
67,Разрыхлитель
67,Какао-порошок
69,Яйцо куриное
69,Ветчина
69,Сливочное масло
69,Соль
69,Сыр чеддер
69,Перец черный молотый
69,Молоко
69,Шпинат
69,Помидоры
69,Хлеб для тостов
69,Гречневая мука
69,Сыр грюйер
71,Телятина
71,Рис
71,Белокочанная капуста
71,Лук репчатый
71,Сладкий перец
71,Шампиньоны
71,Чеснок
71,Молотый красный перец
71,Маргарин
71,Соль
71,Перец черный молотый
71,Мясной бульон
71,Вырезка
71,Картофель
71,Морковь
71,Говядина
71,Баранья нога
71,Чечевица
71,Консервированные помидоры
71,Рубленая петрушка
71,Свежие листья шпината
71,Соевый соус
71,Растительное масло
71,Пряности
71,Молодые кабачки
71,Помидоры
71,Копченая куриная грудка
71,Тертый сыр пармезан
76,Ветчина
76,Помидоры
76,Сладкий перец
76,Макароны
76,Консервированная кукуруза
76,Сыр
76,Майонез
76,Огурцы
76,Морковь
76,Яйцо куриное
76,Зелень
76,Белокочанная капуста
76,Зеленый салат
